Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age Group,Income To Age Ratio
58,No,Non-Travel,390,Research & Development,1 KM,Master’s Degree,Life Sciences,422,Very High,Male,32,1,2,Healthcare Representative,High,Divorced,5660,17056,2,Yes,13,High,Very High,,12,2,Better,5,3,1,2,50s,97.58620689655173
31,No,Travel_Rarely,691,Research & Development,5 KM,Master’s Degree,Technical Degree,423,High,Male,86,3,1,Research Scientist,Very High,Married,4821,10077,0,Yes,12,High,High,,6,4,Better,5,2,0,3,30s,155.51612903225808
31,No,Travel_Rarely,106,Human Resources,2 KM,Bachelor’s Degree,Human Resources,424,Low,Male,62,2,2,Human Resources,Low,Married,6410,17822,3,No,12,High,Very High,,9,1,Better,2,2,1,0,30s,206.7741935483871
45,No,Travel_Frequently,1249,Research & Development,7 KM,Bachelor’s Degree,Life Sciences,425,Low,Male,97,3,3,Laboratory Technician,Low,Divorced,5210,20308,1,No,18,High,Low,,24,2,Better,24,9,9,11,40s,115.77777777777777
31,No,Travel_Rarely,192,Research & Development,2 KM,Master’s Degree,Life Sciences,426,High,Male,32,3,1,Research Scientist,Very High,Divorced,2695,7747,0,Yes,18,High,Medium,,3,2,Bad,2,2,2,2,30s,86.93548387096774
33,No,Travel_Frequently,553,Research & Development,5 KM,Master’s Degree,Life Sciences,428,Very High,Female,74,3,3,Manager,Medium,Married,11878,23364,6,No,11,High,Medium,,12,2,Better,10,6,8,8,30s,359.93939393939394
39,No,Travel_Rarely,117,Research & Development,10 KM,High School,Medical,429,High,Male,99,3,4,Manager,Low,Married,17068,5355,1,Yes,14,High,Very High,,21,3,Better,21,9,11,10,30s,437.64102564102564
43,No,Travel_Frequently,185,Research & Development,10 KM,Master’s Degree,Life Sciences,430,High,Female,33,3,1,Laboratory Technician,Very High,Single,2455,10675,0,No,19,High,Low,,9,5,Better,8,7,1,7,40s,57.093023255813954
49,No,Travel_Rarely,1091,Research & Development,1 KM,Associate’s Degree,Technical Degree,431,High,Female,90,2,4,Healthcare Representative,High,Single,13964,17810,7,Yes,12,High,Very High,,25,2,Better,7,1,0,7,40s,284.9795918367347
52,Yes,Travel_Rarely,723,Research & Development,8 KM,Master’s Degree,Medical,433,High,Male,85,2,2,Research Scientist,Medium,Married,4941,17747,2,No,15,High,Low,,11,3,Good,8,2,7,7,50s,95.01923076923077
27,No,Travel_Rarely,1220,Research & Development,5 KM,Bachelor’s Degree,Life Sciences,434,High,Female,85,3,1,Research Scientist,Medium,Single,2478,20938,1,Yes,12,High,Medium,,4,2,Good,4,3,1,2,20s,91.77777777777777
32,No,Travel_Rarely,588,Sales,8 KM,Associate’s Degree,Technical Degree,436,High,Female,65,2,2,Sales Executive,Medium,Married,5228,24624,1,Yes,11,High,Very High,,13,2,Better,13,12,11,9,30s,163.375
27,No,Travel_Rarely,1377,Sales,2 KM,Bachelor’s Degree,Life Sciences,437,Very High,Male,74,3,2,Sales Executive,High,Single,4478,5242,1,Yes,11,High,Low,,5,3,Better,5,4,0,4,20s,165.85185185185185
31,No,Travel_Rarely,691,Sales,7 KM,Bachelor’s Degree,Marketing,438,Very High,Male,73,3,2,Sales Executive,Very High,Divorced,7547,7143,4,No,12,High,Very High,,13,3,Better,7,7,1,7,30s,243.4516129032258
32,No,Travel_Rarely,1018,Research & Development,2 KM,Master’s Degree,Medical,439,Low,Female,74,4,2,Research Scientist,Very High,Single,5055,10557,7,No,16,High,High,,10,0,Good,7,7,0,7,30s,157.96875
28,Yes,Travel_Rarely,1157,Research & Development,2 KM,Master’s Degree,Medical,440,Low,Male,84,1,1,Research Scientist,Very High,Married,3464,24737,5,Yes,13,High,Very High,,5,4,Good,3,2,2,2,20s,123.71428571428571
30,No,Travel_Rarely,1275,Research & Development,28 KM,Associate’s Degree,Medical,441,Very High,Female,64,3,2,Research Scientist,Very High,Married,5775,11934,1,No,13,High,Very High,,11,2,Better,10,8,1,9,20s,192.5
31,No,Travel_Frequently,798,Research & Development,7 KM,Associate’s Degree,Life Sciences,442,High,Female,48,2,3,Manufacturing Director,High,Married,8943,14034,1,No,24,Very High,Low,,10,2,Better,10,9,8,9,30s,288.48387096774195
39,No,Travel_Frequently,672,Research & Development,7 KM,Associate’s Degree,Medical,444,High,Male,54,2,5,Manager,Very High,Married,19272,21141,1,No,15,High,Low,,21,2,Better,21,9,13,3,30s,494.15384615384613
39,Yes,Travel_Rarely,1162,Sales,3 KM,Associate’s Degree,Medical,445,Very High,Female,41,3,2,Sales Executive,High,Married,5238,17778,4,Yes,18,High,Low,,12,3,Good,1,0,0,0,30s,134.30769230769232
33,No,Travel_Frequently,508,Sales,10 KM,Bachelor’s Degree,Marketing,446,Medium,Male,46,2,2,Sales Executive,Very High,Single,4682,4317,3,No,14,High,High,,9,6,Good,7,7,0,1,30s,141.87878787878788
47,No,Travel_Rarely,1482,Research & Development,5 KM,Doctorate,Life Sciences,447,Very High,Male,42,3,5,Research Director,High,Married,18300,16375,4,No,11,High,Medium,,21,2,Better,3,2,1,1,40s,389.36170212765956
43,No,Travel_Frequently,559,Research & Development,10 KM,Master’s Degree,Life Sciences,448,High,Female,82,2,2,Laboratory Technician,High,Divorced,5257,6227,1,No,11,High,Medium,,9,3,Best,9,7,0,0,40s,122.25581395348837
27,No,Non-Travel,210,Sales,1 KM,High School,Marketing,449,High,Male,73,3,2,Sales Executive,Medium,Married,6349,22107,0,Yes,13,High,Very High,,6,0,Better,5,4,1,4,20s,235.14814814814815
54,No,Travel_Frequently,928,Research & Development,20 KM,Master’s Degree,Life Sciences,450,Very High,Female,31,3,2,Research Scientist,High,Single,4869,16885,3,No,12,High,Very High,,20,4,Good,4,3,0,3,50s,90.16666666666667
43,No,Travel_Rarely,1001,Research & Development,7 KM,Bachelor’s Degree,Life Sciences,451,High,Female,43,3,3,Healthcare Representative,Low,Married,9985,9262,8,No,16,High,Low,,10,1,Good,1,0,0,0,40s,232.2093023255814
45,No,Travel_Rarely,549,Research & Development,8 KM,Master’s Degree,Other,452,Very High,Male,75,3,2,Research Scientist,Very High,Married,3697,9278,9,No,14,High,Low,,12,3,Better,10,9,9,8,40s,82.15555555555555
40,No,Travel_Rarely,1124,Sales,1 KM,Associate’s Degree,Medical,453,Medium,Male,57,1,2,Sales Executive,Very High,Married,7457,13273,2,Yes,22,Very High,High,,6,2,Good,4,3,0,2,30s,186.425
29,Yes,Travel_Rarely,318,Research & Development,8 KM,Master’s Degree,Other,454,Medium,Male,77,1,1,Laboratory Technician,Low,Married,2119,4759,1,Yes,11,High,Very High,,7,4,Good,7,7,0,7,20s,73.06896551724138
29,No,Travel_Rarely,738,Research & Development,9 KM,Doctorate,Other,455,Medium,Male,30,2,1,Laboratory Technician,Very High,Single,3983,7621,0,No,17,High,High,,4,2,Better,3,2,2,2,20s,137.3448275862069
30,No,Travel_Rarely,570,Sales,5 KM,Bachelor’s Degree,Marketing,456,Very High,Female,30,2,2,Sales Executive,High,Divorced,6118,5431,1,No,13,High,High,,10,2,Better,10,9,1,2,20s,203.93333333333334
27,No,Travel_Rarely,1130,Sales,8 KM,Master’s Degree,Marketing,458,Medium,Female,56,3,2,Sales Executive,Medium,Married,6214,3415,1,No,18,High,Low,,8,3,Better,8,7,0,7,20s,230.14814814814815
37,No,Travel_Rarely,1192,Research & Development,5 KM,Associate’s Degree,Medical,460,Very High,Male,61,3,2,Manufacturing Director,Very High,Divorced,6347,23177,7,No,16,High,High,,8,2,Good,6,2,0,4,30s,171.54054054054055
38,No,Travel_Rarely,343,Research & Development,15 KM,Associate’s Degree,Life Sciences,461,High,Male,92,2,3,Research Director,Very High,Divorced,11510,15682,0,Yes,14,High,Medium,,12,3,Better,11,10,2,9,30s,302.89473684210526
31,No,Travel_Rarely,1232,Research & Development,7 KM,Master’s Degree,Medical,462,High,Female,39,3,3,Manufacturing Director,Very High,Single,7143,25713,1,Yes,14,High,High,,11,2,Good,11,9,4,10,30s,230.41935483870967
29,No,Travel_Rarely,144,Sales,10 KM,High School,Marketing,463,Very High,Female,39,2,2,Sales Executive,Medium,Divorced,8268,11866,1,Yes,14,High,Low,,7,2,Better,7,7,1,7,20s,285.1034482758621
35,No,Travel_Rarely,1296,Research & Development,5 KM,Master’s Degree,Technical Degree,464,High,Male,62,3,3,Manufacturing Director,Medium,Single,8095,18264,0,No,13,High,Very High,,17,5,Better,16,6,0,13,30s,231.28571428571428
23,No,Travel_Rarely,1309,Research & Development,26 KM,High School,Life Sciences,465,High,Male,83,3,1,Research Scientist,Very High,Divorced,2904,16092,1,No,12,High,High,,4,2,Good,4,2,0,2,20s,126.26086956521739
41,No,Travel_Rarely,483,Research & Development,6 KM,Bachelor’s Degree,Medical,466,Very High,Male,95,2,2,Manufacturing Director,Medium,Single,6032,10110,6,Yes,15,High,Very High,,8,3,Better,5,4,1,2,40s,147.1219512195122
47,No,Travel_Frequently,1309,Sales,4 KM,High School,Medical,467,Medium,Male,99,3,2,Sales Representative,High,Single,2976,25751,3,No,19,High,Low,,5,3,Better,0,0,0,0,40s,63.319148936170215
42,No,Travel_Rarely,810,Research & Development,23 KM,Doctorate,Life Sciences,468,Low,Female,44,3,4,Research Director,Very High,Single,15992,15901,2,No,14,High,Medium,,16,2,Better,1,0,0,0,40s,380.76190476190476
29,No,Non-Travel,746,Sales,2 KM,Bachelor’s Degree,Life Sciences,469,Very High,Male,61,3,2,Sales Executive,High,Married,4649,16928,1,No,14,High,Low,,4,3,Good,4,3,0,2,20s,160.31034482758622
42,No,Travel_Rarely,544,Human Resources,2 KM,High School,Technical Degree,470,High,Male,52,3,1,Human Resources,High,Divorced,2696,24017,0,Yes,11,High,High,,4,5,Better,3,2,1,0,40s,64.19047619047619
32,No,Travel_Rarely,1062,Research & Development,2 KM,Bachelor’s Degree,Medical,471,High,Female,75,3,1,Laboratory Technician,Medium,Married,2370,3956,1,No,13,High,High,,8,4,Better,8,0,0,7,30s,74.0625
48,No,Travel_Rarely,530,Sales,29 KM,High School,Medical,473,Low,Female,91,3,3,Manager,High,Married,12504,23978,3,No,21,Very High,Medium,,15,3,Bad,0,0,0,0,40s,260.5
37,No,Travel_Rarely,1319,Research & Development,6 KM,Bachelor’s Degree,Medical,474,High,Male,51,4,2,Research Scientist,Low,Divorced,5974,17001,4,Yes,13,High,Low,,13,2,Better,7,7,6,7,30s,161.45945945945945
30,No,Non-Travel,641,Sales,25 KM,Associate’s Degree,Technical Degree,475,Very High,Female,85,3,2,Sales Executive,High,Married,4736,6069,7,Yes,12,High,Medium,,4,2,Best,2,2,2,2,20s,157.86666666666667
26,No,Travel_Rarely,933,Sales,1 KM,Bachelor’s Degree,Life Sciences,476,High,Male,57,3,2,Sales Executive,High,Married,5296,20156,1,No,17,High,Medium,,8,3,Better,8,7,7,7,20s,203.69230769230768
42,No,Travel_Rarely,1332,Research & Development,2 KM,Master’s Degree,Other,477,Low,Male,98,2,2,Healthcare Representative,Very High,Single,6781,17078,3,No,23,Very High,Medium,,14,6,Better,1,0,0,0,40s,161.45238095238096
21,Yes,Travel_Frequently,756,Sales,1 KM,High School,Technical Degree,478,Low,Female,99,2,1,Sales Representative,Medium,Single,2174,9150,1,Yes,11,High,High,,3,3,Better,3,2,1,2,20s,103.52380952380952
36,No,Non-Travel,845,Sales,1 KM,Doctorate,Medical,479,Very High,Female,45,3,2,Sales Executive,Very High,Single,6653,15276,4,No,15,High,Medium,,7,6,Better,1,0,0,0,30s,184.80555555555554
36,No,Travel_Frequently,541,Sales,3 KM,Master’s Degree,Medical,481,Low,Male,48,2,3,Sales Executive,Very High,Married,9699,7246,4,No,11,High,Low,,16,2,Better,13,9,1,12,30s,269.4166666666667
57,No,Travel_Rarely,593,Research & Development,1 KM,Master’s Degree,Medical,482,Very High,Male,88,3,2,Healthcare Representative,High,Married,6755,2967,2,No,11,High,High,,15,2,Better,3,2,1,2,50s,118.50877192982456
40,No,Travel_Rarely,1171,Research & Development,10 KM,Master’s Degree,Life Sciences,483,Very High,Female,46,4,1,Laboratory Technician,High,Married,2213,22495,3,Yes,13,High,High,,10,3,Better,7,7,1,7,30s,55.325
21,No,Non-Travel,895,Sales,9 KM,Associate’s Degree,Medical,484,Low,Male,39,3,1,Sales Representative,Very High,Single,2610,2851,1,No,24,Very High,High,,3,3,Good,3,2,2,2,20s,124.28571428571429
33,Yes,Travel_Rarely,350,Sales,5 KM,Bachelor’s Degree,Marketing,485,Very High,Female,34,3,1,Sales Representative,High,Single,2851,9150,1,Yes,13,High,Medium,,1,2,Better,1,0,0,0,30s,86.39393939393939
37,No,Travel_Rarely,921,Research & Development,10 KM,Bachelor’s Degree,Medical,486,High,Female,98,3,1,Laboratory Technician,Low,Married,3452,17663,6,No,20,Very High,Medium,,17,3,Better,5,4,0,3,30s,93.29729729729729
46,No,Non-Travel,1144,Research & Development,7 KM,Master’s Degree,Medical,487,High,Female,30,3,2,Manufacturing Director,High,Married,5258,16044,2,No,14,High,High,,7,2,Best,1,0,0,0,40s,114.30434782608695
41,Yes,Travel_Frequently,143,Sales,4 KM,Bachelor’s Degree,Marketing,488,Low,Male,56,3,2,Sales Executive,Medium,Single,9355,9558,1,No,18,High,High,,8,5,Better,8,7,7,7,40s,228.17073170731706
50,No,Travel_Rarely,1046,Research & Development,10 KM,Bachelor’s Degree,Technical Degree,491,Very High,Male,100,2,3,Healthcare Representative,Very High,Single,10496,2755,6,No,15,High,Very High,,20,2,Better,4,3,1,3,40s,209.92
40,Yes,Travel_Rarely,575,Sales,22 KM,Associate’s Degree,Marketing,492,High,Male,68,2,2,Sales Executive,High,Married,6380,6110,2,Yes,12,High,Low,,8,6,Better,6,4,1,0,30s,159.5
31,No,Travel_Rarely,408,Research & Development,9 KM,Master’s Degree,Life Sciences,493,High,Male,42,2,1,Research Scientist,Medium,Single,2657,7551,0,Yes,16,High,Very High,,3,5,Better,2,2,2,2,30s,85.70967741935483
21,Yes,Travel_Rarely,156,Sales,12 KM,Bachelor’s Degree,Life Sciences,494,High,Female,90,4,1,Sales Representative,Medium,Single,2716,25422,1,No,15,High,Very High,,1,0,Better,1,0,0,0,20s,129.33333333333334
29,No,Travel_Rarely,1283,Research & Development,23 KM,Bachelor’s Degree,Life Sciences,495,Very High,Male,54,3,1,Research Scientist,Very High,Single,2201,18168,9,No,16,High,Very High,,6,4,Better,3,2,1,2,20s,75.89655172413794
35,No,Travel_Rarely,755,Research & Development,9 KM,Master’s Degree,Life Sciences,496,High,Male,97,2,2,Healthcare Representative,Medium,Single,6540,19394,9,No,19,High,High,,10,5,Better,1,1,0,0,30s,186.85714285714286
27,No,Travel_Rarely,1469,Research & Development,1 KM,Associate’s Degree,Medical,497,Very High,Male,82,3,1,Laboratory Technician,Medium,Divorced,3816,17881,1,No,11,High,Medium,,5,2,Better,5,2,0,4,20s,141.33333333333334
28,No,Travel_Rarely,304,Sales,9 KM,Master’s Degree,Life Sciences,498,Medium,Male,92,3,2,Sales Executive,Very High,Single,5253,20750,1,No,16,High,Very High,,7,1,Better,7,5,0,7,20s,187.60714285714286
49,No,Travel_Rarely,1261,Research & Development,7 KM,Bachelor’s Degree,Other,499,Medium,Male,31,2,3,Healthcare Representative,High,Single,10965,12066,8,No,24,Very High,High,,26,2,Better,5,2,0,0,40s,223.77551020408163
51,No,Travel_Rarely,1178,Sales,14 KM,Associate’s Degree,Life Sciences,500,High,Female,87,3,2,Sales Executive,Very High,Married,4936,14862,4,No,11,High,High,,18,2,Good,7,7,0,7,50s,96.7843137254902
36,No,Travel_Rarely,329,Research & Development,2 KM,Bachelor’s Degree,Life Sciences,501,Very High,Female,96,3,1,Research Scientist,High,Married,2543,11868,4,No,13,High,Medium,,6,3,Better,2,2,2,2,30s,70.63888888888889
34,Yes,Non-Travel,1362,Sales,19 KM,Bachelor’s Degree,Marketing,502,Low,Male,67,4,2,Sales Executive,Very High,Single,5304,4652,8,Yes,13,High,Medium,,9,3,Good,5,2,0,4,30s,156.0
55,No,Travel_Rarely,1311,Research & Development,2 KM,Bachelor’s Degree,Life Sciences,505,High,Female,97,3,4,Manager,Very High,Single,16659,23258,2,Yes,13,High,High,,30,2,Better,5,4,1,2,50s,302.8909090909091
24,No,Travel_Rarely,1371,Sales,10 KM,Master’s Degree,Marketing,507,Very High,Female,77,3,2,Sales Executive,High,Divorced,4260,5915,1,Yes,12,High,Very High,,5,2,Best,5,2,0,3,20s,177.5
30,No,Travel_Rarely,202,Sales,2 KM,High School,Technical Degree,508,High,Male,72,3,1,Sales Representative,Medium,Married,2476,17434,1,No,18,High,Low,,1,3,Better,1,0,0,0,20s,82.53333333333333
26,Yes,Travel_Frequently,575,Research & Development,3 KM,High School,Technical Degree,510,High,Male,73,3,1,Research Scientist,Low,Single,3102,6582,0,No,22,Very High,High,,7,2,Better,6,4,0,4,20s,119.3076923076923
22,No,Travel_Rarely,253,Research & Development,11 KM,Bachelor’s Degree,Medical,511,Low,Female,43,3,1,Research Scientist,Medium,Married,2244,24440,1,No,13,High,Very High,,2,1,Better,2,1,1,2,20s,102.0
36,No,Travel_Rarely,164,Sales,2 KM,Associate’s Degree,Medical,513,Medium,Male,61,2,3,Sales Executive,High,Married,7596,3809,1,No,13,High,Medium,,10,2,Better,10,9,9,0,30s,211.0
30,Yes,Travel_Frequently,464,Research & Development,4 KM,Bachelor’s Degree,Technical Degree,514,High,Male,40,3,1,Research Scientist,Very High,Single,2285,3427,9,Yes,23,Very High,High,,3,4,Better,1,0,0,0,20s,76.16666666666667
37,No,Travel_Rarely,1107,Research & Development,14 KM,Bachelor’s Degree,Life Sciences,515,Very High,Female,95,3,1,Laboratory Technician,Low,Divorced,3034,26914,1,No,12,High,High,,18,2,Good,18,7,12,17,30s,82.0
40,No,Travel_Rarely,759,Sales,2 KM,Associate’s Degree,Marketing,516,Very High,Female,46,3,2,Sales Executive,Medium,Divorced,5715,22553,7,No,12,High,High,,8,5,Better,5,4,1,3,30s,142.875
42,No,Travel_Rarely,201,Research & Development,1 KM,Master’s Degree,Life Sciences,517,Medium,Female,95,3,1,Laboratory Technician,Low,Divorced,2576,20490,3,No,16,High,Medium,,8,5,Better,5,2,1,2,40s,61.333333333333336
37,No,Travel_Rarely,1305,Research & Development,10 KM,Master’s Degree,Life Sciences,518,High,Male,49,3,2,Manufacturing Director,Medium,Single,4197,21123,2,Yes,12,High,Very High,,18,2,Good,1,0,0,1,30s,113.43243243243244
43,No,Travel_Rarely,982,Research & Development,12 KM,Bachelor’s Degree,Life Sciences,520,Low,Male,59,2,4,Research Director,Medium,Divorced,14336,4345,1,No,11,High,High,,25,3,Better,25,10,3,9,40s,333.3953488372093
40,No,Travel_Rarely,555,Research & Development,2 KM,Bachelor’s Degree,Medical,521,Medium,Female,78,2,2,Laboratory Technician,High,Married,3448,13436,6,No,22,Very High,Medium,,20,3,Better,1,0,0,0,30s,86.2
54,No,Travel_Rarely,821,Research & Development,5 KM,Associate’s Degree,Medical,522,Low,Male,86,3,5,Research Director,Low,Married,19406,8509,4,No,11,High,High,,24,4,Good,4,2,1,2,50s,359.3703703703704
34,No,Non-Travel,1381,Sales,4 KM,Master’s Degree,Marketing,523,High,Female,72,3,2,Sales Executive,High,Married,6538,12740,9,No,15,High,Low,,6,3,Better,3,2,1,2,30s,192.2941176470588
31,No,Travel_Rarely,480,Research & Development,7 KM,Associate’s Degree,Medical,524,Medium,Female,31,3,2,Manufacturing Director,Low,Married,4306,4156,1,No,12,High,Medium,,13,5,Bad,13,10,3,12,30s,138.90322580645162
43,No,Travel_Frequently,313,Research & Development,21 KM,Bachelor’s Degree,Medical,525,Very High,Male,61,3,1,Laboratory Technician,Very High,Married,2258,15238,7,No,20,Very High,Low,,8,1,Better,3,2,1,2,40s,52.51162790697674
43,No,Travel_Rarely,1473,Research & Development,8 KM,Master’s Degree,Other,526,High,Female,74,3,2,Healthcare Representative,High,Divorced,4522,2227,4,Yes,14,High,Very High,,8,3,Better,5,2,0,2,40s,105.16279069767442
25,No,Travel_Rarely,891,Sales,4 KM,Associate’s Degree,Life Sciences,527,Medium,Female,99,2,2,Sales Executive,Very High,Single,4487,12090,1,Yes,11,High,Medium,,5,3,Better,5,4,1,3,20s,179.48
37,No,Non-Travel,1063,Research & Development,25 KM,Doctorate,Medical,529,Medium,Female,72,3,2,Research Scientist,High,Married,4449,23866,3,Yes,15,High,Low,,15,2,Better,13,11,10,7,30s,120.24324324324324
31,No,Travel_Rarely,329,Research & Development,1 KM,Associate’s Degree,Life Sciences,530,Very High,Male,98,2,1,Laboratory Technician,Low,Married,2218,16193,1,No,12,High,High,,4,3,Better,4,2,3,2,30s,71.54838709677419
39,No,Travel_Frequently,1218,Research & Development,1 KM,High School,Life Sciences,531,Medium,Male,52,3,5,Manager,High,Divorced,19197,8213,1,Yes,14,High,High,,21,3,Better,21,8,1,6,30s,492.2307692307692
56,No,Travel_Frequently,906,Sales,6 KM,Bachelor’s Degree,Life Sciences,532,High,Female,86,4,4,Sales Executive,Low,Married,13212,18256,9,No,11,High,Very High,,36,0,Good,7,7,7,7,50s,235.92857142857142
30,No,Travel_Rarely,1082,Sales,12 KM,Bachelor’s Degree,Technical Degree,533,Medium,Female,83,3,2,Sales Executive,High,Single,6577,19558,0,No,11,High,Medium,,6,6,Better,5,4,4,4,20s,219.23333333333332
41,No,Travel_Rarely,645,Sales,1 KM,Bachelor’s Degree,Marketing,534,Medium,Male,49,4,3,Sales Executive,Low,Married,8392,19566,1,No,16,High,High,,10,2,Better,10,7,0,7,40s,204.6829268292683
28,No,Travel_Rarely,1300,Research & Development,17 KM,Associate’s Degree,Medical,536,High,Male,79,3,2,Laboratory Technician,Low,Divorced,4558,13535,1,No,12,High,Very High,,10,2,Better,10,0,1,8,20s,162.78571428571428
25,Yes,Travel_Rarely,688,Research & Development,3 KM,Bachelor’s Degree,Medical,538,Low,Male,91,3,1,Laboratory Technician,Low,Married,4031,9396,5,No,13,High,High,,6,5,Better,2,2,0,2,20s,161.24
52,No,Travel_Rarely,319,Research & Development,3 KM,Bachelor’s Degree,Medical,543,Very High,Male,39,2,3,Manufacturing Director,High,Married,7969,19609,2,Yes,14,High,High,,28,4,Better,5,4,0,4,50s,153.25
45,No,Travel_Rarely,192,Research & Development,10 KM,Associate’s Degree,Life Sciences,544,Low,Male,69,3,1,Research Scientist,Very High,Married,2654,9655,3,No,21,Very High,Very High,,8,3,Good,2,2,0,2,40s,58.977777777777774
52,No,Travel_Rarely,1490,Research & Development,4 KM,Associate’s Degree,Life Sciences,546,Very High,Female,30,3,4,Manager,Very High,Married,16555,10310,2,No,13,High,Very High,,31,2,Bad,5,2,1,4,50s,318.36538461538464
42,No,Travel_Frequently,532,Research & Development,29 KM,Associate’s Degree,Life Sciences,547,Low,Female,92,3,2,Research Scientist,High,Divorced,4556,12932,2,No,11,High,Medium,,19,3,Better,5,4,0,2,40s,108.47619047619048
30,No,Travel_Rarely,317,Research & Development,2 KM,Bachelor’s Degree,Life Sciences,548,High,Female,43,1,2,Manufacturing Director,Very High,Single,6091,24793,2,No,20,Very High,High,,11,2,Better,5,4,0,2,20s,203.03333333333333
60,No,Travel_Rarely,422,Research & Development,7 KM,Bachelor’s Degree,Life Sciences,549,Low,Female,41,3,5,Manager,Low,Married,19566,3854,5,No,11,High,Very High,,33,5,Bad,29,8,11,10,50s,326.1
46,No,Travel_Rarely,1485,Research & Development,18 KM,Bachelor’s Degree,Medical,550,High,Female,87,3,2,Manufacturing Director,High,Divorced,4810,26314,2,No,14,High,High,,19,5,Good,10,7,0,8,40s,104.56521739130434
42,No,Travel_Frequently,1368,Research & Development,28 KM,Master’s Degree,Technical Degree,551,Very High,Female,88,2,2,Healthcare Representative,Very High,Married,4523,4386,0,No,11,High,Very High,,7,4,Best,6,5,0,4,40s,107.69047619047619
24,Yes,Travel_Rarely,1448,Sales,1 KM,High School,Technical Degree,554,Low,Female,62,3,1,Sales Representative,Medium,Single,3202,21972,1,Yes,16,High,Medium,,6,4,Better,5,3,1,4,20s,133.41666666666666
34,Yes,Travel_Frequently,296,Sales,6 KM,Associate’s Degree,Marketing,555,Very High,Female,33,1,1,Sales Representative,High,Divorced,2351,12253,0,No,16,High,Very High,,3,3,Good,2,2,1,0,30s,69.1470588235294
38,No,Travel_Frequently,1490,Research & Development,2 KM,Associate’s Degree,Life Sciences,556,Very High,Male,42,3,1,Laboratory Technician,Very High,Married,1702,12106,1,Yes,23,Very High,High,,1,3,Better,1,0,0,0,30s,44.78947368421053
40,No,Travel_Rarely,1398,Sales,2 KM,Master’s Degree,Life Sciences,558,High,Female,79,3,5,Manager,High,Married,18041,13022,0,No,14,High,Very High,,21,2,Better,20,15,1,12,30s,451.025
26,No,Travel_Rarely,1349,Research & Development,23 KM,Bachelor’s Degree,Life Sciences,560,Low,Female,90,3,1,Research Scientist,Very High,Divorced,2886,3032,1,No,22,Very High,Medium,,3,3,Bad,3,2,0,2,20s,111.0
30,No,Non-Travel,1400,Research & Development,3 KM,Bachelor’s Degree,Life Sciences,562,High,Male,53,3,1,Laboratory Technician,Very High,Married,2097,16734,4,No,15,High,High,,9,3,Bad,5,3,1,4,20s,69.9
29,No,Travel_Rarely,986,Research & Development,3 KM,Master’s Degree,Medical,564,Medium,Male,93,2,3,Research Director,High,Married,11935,21526,1,No,18,High,High,,10,2,Better,10,2,0,7,20s,411.55172413793105
29,Yes,Travel_Rarely,408,Research & Development,25 KM,Doctorate,Technical Degree,565,High,Female,71,2,1,Research Scientist,Medium,Married,2546,18300,5,No,16,High,Medium,,6,2,Best,2,2,1,1,20s,87.79310344827586
19,Yes,Travel_Rarely,489,Human Resources,2 KM,Associate’s Degree,Technical Degree,566,Low,Male,52,2,1,Human Resources,Very High,Single,2564,18437,1,No,12,High,High,,1,3,Best,1,0,0,0,20s,134.94736842105263
30,No,Non-Travel,1398,Sales,22 KM,Master’s Degree,Other,567,High,Female,69,3,3,Sales Executive,Low,Married,8412,2890,0,No,11,High,High,,10,3,Better,9,8,7,8,20s,280.4
57,No,Travel_Rarely,210,Sales,29 KM,Bachelor’s Degree,Marketing,568,Low,Male,56,2,4,Manager,Very High,Divorced,14118,22102,3,No,12,High,High,,32,3,Good,1,0,0,0,50s,247.68421052631578
50,No,Travel_Rarely,1099,Research & Development,29 KM,Master’s Degree,Life Sciences,569,Medium,Male,88,2,4,Manager,High,Married,17046,9314,0,No,15,High,Medium,,28,2,Better,27,10,15,7,40s,340.92
30,No,Non-Travel,1116,Research & Development,2 KM,Bachelor’s Degree,Medical,571,High,Female,49,3,1,Laboratory Technician,Very High,Single,2564,7181,0,No,14,High,High,,12,2,Good,11,7,6,7,20s,85.46666666666667
60,No,Travel_Frequently,1499,Sales,28 KM,Bachelor’s Degree,Marketing,573,High,Female,80,2,3,Sales Executive,Low,Married,10266,2845,4,No,19,High,Very High,,22,5,Best,18,13,13,11,50s,171.1
47,No,Travel_Rarely,983,Research & Development,2 KM,Associate’s Degree,Medical,574,Low,Female,65,3,2,Manufacturing Director,Very High,Divorced,5070,7389,5,No,13,High,High,,20,2,Better,5,0,0,4,40s,107.87234042553192
46,No,Travel_Rarely,1009,Research & Development,2 KM,Bachelor’s Degree,Life Sciences,575,Low,Male,51,3,4,Research Director,High,Married,17861,2288,6,No,13,High,High,,26,2,Bad,3,2,0,1,40s,388.2826086956522
